,,,,,학점,,,시험,퀴즈,발표,프로젝트,과제물,참여도,기타,중간고사,기말고사,기타,강의실위치
2939,컴퓨터적사고와이해,11232,이승현,1,3,1243,1243,60,0,0,15,25,0,0,210419,210617,기말과제: 2021/06/21(월),
2940,음악테크놀로지와프로그래밍,11233,전현석,1,3,2353,2353,60,0,0,0,20,20,0,210420,210615,,
2941,컴퓨터적사고와조형적활용,11234,"이보람/

양재희",1,3,1617,1617,40,0,0,0,40,20,0,210426,,,
2944,드로잉의기초와응용,11244,정혜진,1,3,1344,1344,0,0,0,0,80,10,10,,,,
2945,Designing with Korean paintings,11245,정혜진,1,3,1617,1617,0,0,0,0,80,10,10,,,,
2946,Designing with Korean paintings,11245,정혜진,2,3,4647,4647,0,0,0,0,80,10,10,,,,
2947,Introduction to Oriental Paintings;Basic and Applications of Drawing,11247,이지은,1,3,2425,2425,100,0,0,0,0,0,0,,,,
2948,나눔의인간학,11253,이지애,1,2,1736,1736,100,0,0,0,0,0,0,,,,
2949,관계의미학:사랑과윤리,11254,이숙진,1,2,2455,2455,100,0,0,0,0,0,0,,,,
2950,에피소드로보는과학철학,11257,이정,1,3,1243,1243,100,0,0,0,0,0,0,,,,
2951,기업가정신과혁신,11260,고유미,1,3,,null,100,0,0,0,0,0,0,,,,
2952,생활속의미생물,11262,최원자,1,3,3354,3354,100,0,0,0,0,0,0,,,,
2953,예술과기술,11263,김남시,1,3,1445,1445,100,0,0,0,0,0,0,,,,
2954,세계의자연유산과지오투어리즘,11264,이원영,1,3,3233,3233,50,0,10,10,20,10,0,210421,210616,,
2955,음악과건강,11265,유가을,1,3,2455,2455,100,0,0,0,0,0,0,,,,
2956,위기관리학,11268,김인우,1,3,31325152,31325152,100,0,0,0,0,0,0,,,,
2957,조직리더십,11270,황상근,1,3,31325152,31325152,100,0,0,0,0,0,0,,,,
2958,국가안보론,11272,박진호,1,3,1344,1344,100,0,0,0,0,0,0,,,,
2959,리더십,11273,정해원,1,3,1635,1635,100,0,0,0,0,0,0,,,,
2960,전쟁사,11274,박진호,1,3,3354,3354,100,0,0,0,0,0,0,,,,
2961,북한학,11275,정해원,1,3,1534,1534,100,0,0,0,0,0,0,,,,
2962,무기체계론,11276,박진호,1,3,1445,1445,100,0,0,0,0,0,0,,,,
2963,스크린에투영된테크노컬처와젠더,11284,이수안,1,3,1445,1445,100,0,0,0,0,0,0,,,,
2964,모방과인간,11292,최성만,1,3,2455,2455,100,0,0,0,0,0,0,,,,
2965,인물로본중국의역사,11293,최해별,1,3,2353,2353,100,0,0,0,0,0,0,,,,
2966,질병과치료로본서양사,11294,이현주,1,3,1243,1243,100,0,0,0,0,0,0,,,,
2967,인공지능시대의과학과종교,11295,최순양,1,3,2353,2353,100,0,0,0,0,0,0,,,,
2968,청춘의아픔과치유:행복인문학,11296,박희규,1,3,1635,1635,100,0,0,0,0,0,0,,,,
2969,생태와문학,11297,송태현,1,3,2455,2455,80,0,0,0,10,10,0,210413,210611,,
3010,문제해결과SW프로그래밍,11309,양숙희,1,3,1344,1344,30,30,0,0,20,20,0,,210614,,
3011,문제해결과SW프로그래밍,11309,양재희,2,3,2546,2546,100,0,0,0,0,0,0,,,,
3012,Literary Themes in Films,11310,민혜숙,1,3,1445,1445,100,0,0,0,0,0,0,,,,캠B144
3013,(유학생을위한)보고서와논문쓰기,11311,유지연,1,3,4647,4647,100,0,0,0,0,0,0,,,,
3014,(유학생을위한)보고서와논문쓰기,11313,유지연,1,0,4647,4647,100,0,0,0,0,0,0,,,,
3015,미술로치유하는마음,11328,한경아,1,3,2425,2425,100,0,0,0,0,0,0,,,,
3016,Reading American Popular Culture in the Digital Age,11330,김윤지,1,3,3354,3354,100,0,0,0,0,0,0,,,,
3017,도시⋅공간문화로읽는한국사,11332,서정현,1,3,1344,1344,100,0,0,0,0,0,0,,,,
3018,"한국사와상상력,스토리텔링",11333,박초롱,1,3,1635,1635,100,0,0,0,0,0,0,,,,
3019,Critical and Creative Textual Studies,11334,Karen Muckenhirn,1,3,2353,2353,100,0,0,0,0,0,0,,,,
3074,리눅스와시스템적사고,11356,권진욱,1,3,1344,1344,100,0,0,0,0,0,0,,,,
3075,인간관계심리,11358,김지영,1,3,1344,1344,100,0,0,0,0,0,0,,,,
3076,정신건강과행복,11359,최소영,1,3,1243,1243,100,0,0,0,0,0,0,,,,
3077,프로그래밍을위한컴퓨팅적사고,11361,"박호연/

김영호/

민동보",1,3,,null,30,0,0,0,60,10,0,,,,
3078,컴퓨터속의우주,11362,김정리,1,3,1243,1243,40,0,0,35,15,10,0,,,,
3079,인권윤리학:정의와사랑,11363,김혜령,1,3,3354,3354,100,0,0,0,0,0,0,,,,
3080,빅데이터와젠더,11365,이은아,1,3,2353,2353,100,0,0,0,0,0,0,,,,
3081,한국의문화유산역사여행,11366,김수자,1,3,1534,1534,100,0,0,0,0,0,0,,,,
3082,사회문제해결을위한R프로그래밍기초,11367,이선복,1,3,,null,100,0,0,0,0,0,0,,,,
3083,컴퓨터식문제해결기법,11369,용환승,1,3,1635,1635,100,0,0,0,0,0,0,,,,
3084,데이터컴퓨팅,11373,"김명준/

김민수/

홍은아/

박민정/

안성복",1,3,1344,1344,100,0,0,0,0,0,0,,,,
3088,컴퓨터보안과윈도우포렌식,11374,"채상미/

박민정",1,3,2647,2647,100,0,0,0,0,0,0,,,,
