,,,,,학점,,,시험,퀴즈,발표,프로젝트,과제물,참여도,기타,중간고사,기말고사,기타,강의실위치
1,가족건강과간호,10011,"허유진/

김부연",1,3,1243,1243,100,0,0,0,0,0,0,,,,
2,건강과운동,10012,김영주,1,3,1736,1736,100,0,0,0,0,0,0,,,,
3,골프,10015,원형중,1,1,46,46,30,5,0,0,30,25,10,210506,210610,기말레포트: 2021/06/03(목),
4,국악의이해,10018,곽은아,1,3,2142,2142,100,0,0,0,0,0,0,,,,
28,논리와사고,10027,박지희,1,3,1534,1534,100,0,0,0,0,0,0,,,,캠B155
29,동양미술의이해,10033,이정은,1,3,1445,1445,100,0,0,0,0,0,0,,,,캠B159
30,문학과삶,10041,최수완,1,3,1243,1243,100,0,0,0,0,0,0,,,,캠B159
31,생명의신비,10066,여창열,1,3,2353,2353,100,0,0,0,0,0,0,,,,캠B321
32,서양미술의이해,10072,전동호,1,3,1344,1344,100,0,0,0,0,0,0,,,,캠B159
33,서양미술의이해,10072,정은진,2,3,2353,2353,40,0,0,0,40,20,0,,210611,,캠B321
34,서양미술의이해,10072,전동호,1,3,1344,1344,100,0,0,0,0,0,0,,,,캠B147
35,서양미술의이해,10072,정은진,2,3,2353,2353,40,0,0,0,40,20,0,,210611,,캠B144
36,서양음악의이해,10073,김은하,1,3,3354,3354,100,0,0,0,0,0,0,,,,캠B155
37,서양음악의이해,10073,김은하,2,3,1635,1635,100,0,0,0,0,0,0,,,,캠B159
38,성의사회학,10075,최유정,1,3,2627,2627,100,0,0,0,0,0,0,,,,캠B321
39,시민생활과법,10081,정태윤,1,3,1635,1635,80,0,0,0,10,10,0,210421,210609,,캠B147
40,시민생활과법,10081,서을오,2,3,2647,2647,100,0,0,0,0,0,0,,,,캠B161
41,시민생활과법,10081,"김현철/

김주현",3,3,1243,1243,100,0,0,0,0,0,0,,,,캠B144
42,여성과예술,10090,강은주,1,3,1445,1445,100,0,0,0,0,0,0,,,,캠B155
43,노동과젠더,10091,백경흔,1,3,1445,1445,100,0,0,0,0,0,0,,,,캠B147
44,여성학,10094,차민정,1,3,2353,2353,100,0,0,0,0,0,0,,,,포464
45,여성학,10094,전희경,2,3,2746,2746,100,0,0,0,0,0,0,,,,캠B155
46,여성학,10094,차민정,1,3,2353,2353,100,0,0,0,0,0,0,,,,캠B159
47,여성학,10094,전희경,2,3,2746,2746,100,0,0,0,0,0,0,,,,캠B155
124,예술과사상,10100,이수정,1,3,2647,2647,100,0,0,0,0,0,0,,,,포454
125,오페라의이해와감상,10101,김하영,1,3,2353,2353,80,0,0,0,0,20,0,210413,210611,,포357
126,응용통계입문,10104,문온,1,3,1344,1344,100,0,0,0,0,0,0,,,,포360
127,인간과종교,10108,김희선,1,3,2647,2647,60,0,10,0,10,20,0,210422,210610,,포462
128,인간발달과가족,10109,한세영,1,3,2353,2353,100,0,0,0,0,0,0,,,,포358
129,인간발달과가족,10109,신나나,2,3,1344,1344,100,0,0,0,0,0,0,,,,포359
130,인간발달과가족,10109,이운경,3,3,1534,1534,100,0,0,0,0,0,0,,,,포461
131,인간발달과가족,10109,한세영,1,3,2353,2353,100,0,0,0,0,0,0,,,,포356
132,인간발달과가족,10109,신나나,2,3,1344,1344,100,0,0,0,0,0,0,,,,포462
133,인간발달과가족,10109,이운경,3,3,1534,1534,100,0,0,0,0,0,0,,,,포551
134,인간의심리학적이해,10110,오자영,1,3,1344,1344,100,0,0,0,0,0,0,,,,포367
135,중급독일어,10130,진일상,1,3,1445,1445,100,0,0,0,0,0,0,,,,포360
136,중급일본어,10132,Honda Miho,1,3,1445,1445,100,0,0,0,0,0,0,,,,포358
137,중급중국어,10133,이지은,1,3,1344,1344,100,0,0,0,0,0,0,,,,포454
138,지구의역사,10135,이정훈,1,3,2353,2353,100,0,0,0,0,0,0,,,,포356
139,테니스,10145,김홍재,1,1,46,46,60,0,0,0,0,20,20,210422,210610,,포357
140,한국근현대사,10149,안유림,1,3,1736,1736,100,0,0,0,0,0,0,,,,포359
141,한국미술의이해,10152,김소연,1,3,1534,1534,100,0,0,0,0,0,0,,,,포461
142,한국생활문화사,10155,임이랑,1,3,1534,1534,100,0,0,0,0,0,0,,,,포359
143,한국여성사,10158,임이랑,1,3,1635,1635,100,0,0,0,0,0,0,,,,포461
144,생활한자와교양한문,10161,김현미,1,3,3354,3354,100,0,0,0,0,0,0,,,,포359
145,현대물리학과인간사고의변혁,10164,김찬주,1,3,1344,1344,100,0,0,0,0,0,0,,,,포461
146,현대미술사,10165,조수진,1,3,1534,1534,100,0,0,0,0,0,0,,,,포358
147,소비자와시장,10168,정순희,1,3,,null,100,0,0,0,0,0,0,,,,포357
148,환경과인간,10181,최재천,1,3,3354,3354,100,0,0,0,0,0,0,,,,포356
149,Korean Ceramics I,10504,이은영,1,3,2526,2526,0,0,0,40,20,10,30,,,,포359
150,Korean Ceramics II,10505,김예성,1,3,4243,4243,0,0,10,40,10,40,0,,,,포461
151,한국현대시와삶읽기,10543,이연승,1,3,1344,1344,100,0,0,0,0,0,0,,,,포262
152,중국의역사와문화,10544,손장훈,1,3,2241,2241,100,0,0,0,0,0,0,,,,포367
153,근대일본과동아시아,10545,함동주,1,3,1445,1445,80,0,0,0,10,10,0,210426,210614,,포359
154,북한주민의문화와생활,10548,김미주,1,3,3354,3354,100,0,0,0,0,0,0,,,,포357
155,북한정치의이해,10549,송현진,1,3,1243,1243,100,0,0,0,0,0,0,,,,캠B144
156,4차산업혁명과창의융합SW,10556,"용환승/

양재희",1,3,,null,100,0,0,0,0,0,0,,,,캠B144
157,인류문명과환경과학,10559,박석순,1,3,,null,100,0,0,0,0,0,0,,,,
158,스포츠와세계화,10562,홍은아,1,3,1534,1534,100,0,0,0,0,0,0,,,,
159,기본중국어,10563,모해연,1,3,1435,1435,100,0,0,0,0,0,0,,,,
160,기본중국어,10563,모해연,2,3,1445,1445,100,0,0,0,0,0,0,,,,
161,기본중국어,10563,Peng Jing,3,3,2647,2647,100,0,0,0,0,0,0,,,,
162,기본중국어,10563,엄지,4,3,1736,1736,100,0,0,0,0,0,0,,,,
