,,,,,,,,,,55/18,55/19,55/20,55/21,56/18,56/19,56/20,56/21,57/18,57/19,57/20,57/21,58/18,58/19,58/20,58/21,59/18,59/19,59/20,59/21,60/18,60/19,60/20,60/21
55,18,2798,10023, 기독교와세계,1,1,3,3,null,2798,2812,2826,2838,2850,2864,2878,2890,2902,2916,2930,2942,2954,2968,2982,2994,3006,3020,3034,3046,3058,3072,3086,3098
55,18,2798,10023, 기독교와세계,1,2,3,3,null,2798,2812,2826,2838,2850,2864,2878,2890,2902,2916,2930,2942,2954,2968,2982,2994,3006,3020,3034,3046,3058,3072,3086,3098
55,18,2799,11256, 공존과협력의유토피아,1,1,3,2,null,2799,2813,2827,2839,2851,2865,2879,2891,2903,2917,2931,2943,2955,2969,2983,2995,3007,3021,3035,3047,3059,3073,3087,3099
55,18,2799,11256, 공존과협력의유토피아,1,2,3,2,null,2799,2813,2827,2839,2851,2865,2879,2891,2903,2917,2931,2943,2955,2969,2983,2995,3007,3021,3035,3047,3059,3073,3087,3099
55,18,2799,11254, 관계의미학:사랑과윤리,1,1,3,2,null,2799,2813,2827,2839,2851,2865,2879,2891,2903,2917,2931,2943,2955,2969,2983,2995,3007,3021,3035,3047,3059,3073,3087,3099
55,18,2799,11254, 관계의미학:사랑과윤리,1,2,3,2,null,2799,2813,2827,2839,2851,2865,2879,2891,2903,2917,2931,2943,2955,2969,2983,2995,3007,3021,3035,3047,3059,3073,3087,3099
55,18,2799,11095, 나눔리더십,1,1,3,2,null,2799,2813,2827,2839,2851,2865,2879,2891,2903,2917,2931,2943,2955,2969,2983,2995,3007,3021,3035,3047,3059,3073,3087,3099
55,18,2799,11095, 나눔리더십,1,2,3,2,null,2799,2813,2827,2839,2851,2865,2879,2891,2903,2917,2931,2943,2955,2969,2983,2995,3007,3021,3035,3047,3059,3073,3087,3099
55,18,2799,11253, 나눔의인간학,1,1,3,2,null,2799,2813,2827,2839,2851,2865,2879,2891,2903,2917,2931,2943,2955,2969,2983,2995,3007,3021,3035,3047,3059,3073,3087,3099
55,18,2799,11253, 나눔의인간학,1,2,3,2,null,2799,2813,2827,2839,2851,2865,2879,2891,2903,2917,2931,2943,2955,2969,2983,2995,3007,3021,3035,3047,3059,3073,3087,3099
